product_name,sku,product_id,supply_price,old_count,new_count,dif,value_change,updated_at
Harvard Crest Hat / Crimson,10736,060f02b1-c83d-11e6-fcd2-534dd53a101d,5.0,4,4,0,0.0,2017-07-18 16:39:10
Harvard Crest Hat / Ivory,10742,060f02b1-c83d-11e6-fcd2-63e4125e7c1f,5.0,6,7,1,5.0,2017-07-18 16:39:10
Pro-Weave Crewneck / Black / S,10807,060f02b1-c83d-11e6-fcd2-9d338b17ad7c,16.0,1,1,0,0.0,2017-07-18 16:39:11
Pro-Weave Crewneck / Black / XL,10810,060f02b1-c83d-11e6-fcd2-9d338c186bfd,16.0,2,3,1,16.0,2017-07-18 16:39:11
Pro-Weave Crewneck / Ivory / S,10811,060f02b1-c83d-11e6-fcd2-9d338c63951a,16.0,0,3,3,48.0,2017-07-18 16:39:12
Pro-Weave Crewneck / Ivory / M,10812,060f02b1-c83d-11e6-fcd2-9d338ce8bd5d,16.0,2,3,1,16.0,2017-07-18 16:39:12
Pro-Weave Crewneck / Ivory / L,10813,060f02b1-c83d-11e6-fcd2-9d338d484988,16.0,2,5,3,48.0,2017-07-18 16:39:13
Pro-Weave Crewneck / Ivory / XL,10814,060f02b1-c83d-11e6-fcd2-9d338da93673,16.0,3,5,2,32.0,2017-07-18 16:39:14
Pro-Weave Hood / Crimson / M,10816,060f02b1-c83d-11e6-fcd2-9d33d5eb4b09,18.5,2,0,-2,-37.0,2017-07-18 16:39:14
Pro-Weave Hood / Crimson / L,10817,060f02b1-c83d-11e6-fcd2-9d33d630f06f,18.5,2,4,2,37.0,2017-07-18 16:39:15
Pro-Weave Hood / Crimson / XL,10818,060f02b1-c83d-11e6-fcd2-9d33d69407fa,18.5,2,3,1,18.5,2017-07-18 16:39:15
Pro-Weave Hood / Ivory / M,10820,060f02b1-c83d-11e6-fcd2-9d33d7285b5f,18.5,2,1,-1,-18.5,2017-07-18 16:39:16
Pro-Weave Hood / Ivory / L,10821,060f02b1-c83d-11e6-fcd2-9d33d7752cef,18.5,2,1,-1,-18.5,2017-07-18 16:39:16
Pro-Weave Hood / Ivory / XL,10822,060f02b1-c83d-11e6-fcd2-9d33d7bc2ae8,18.5,2,3,1,18.5,2017-07-18 16:39:17
Women's Big Stripe Long Tee / Oxford / S,10837,060f02b1-c83d-11e6-fcd2-b013193df8c6,15.84,1,2,1,15.84,2017-07-18 16:39:18
Women's Big Stripe Long Tee / Oxford / M,10838,060f02b1-c83d-11e6-fcd2-b0131998cfd6,15.84,3,3,0,0.0,2017-07-18 16:39:18
Women's Big Stripe Long Tee / Oxford / L,10839,060f02b1-c83d-11e6-fcd2-b01319d6f08e,15.84,2,3,1,15.84,2017-07-18 16:39:19
Women's Big Stripe Long Tee / Oxford / XL,10840,060f02b1-c83d-11e6-fcd2-b0131a8a3087,15.84,3,3,0,0.0,2017-07-18 16:39:19
Kid's Harvard Crest Hat / Crimson,10885,060f02b1-c83d-11e6-e913-f86bce3a8b3d,4.75,5,6,1,4.75,2017-07-18 16:39:20
